concept_id,alias_text,alias_type,source,added_by
CG-0001,cast aluminum,ledger_keyword,CB-2025-001,builder
CG-0001,CA CER,ledger_keyword,CB-2025-001,builder
CG-0001,non-toxic,ledger_keyword,CB-2025-020,builder
CG-0001,PFAS,ledger_keyword,CB-2025-020,builder
CG-0001,ceramic,ledger_keyword,CB-2025-025,builder
CG-0001,cast al,ledger_keyword,CB-2026-027,builder
CG-0001,detachable,ledger_keyword,CB-2026-027,builder
CG-0001,castaluminum,social_pattern,matching_rules,builder
CG-0001,ceramiccookware,social_pattern,matching_rules,builder
CG-0001,nontoxiccookware,social_pattern,matching_rules,builder
CG-0002,motivational,ledger_keyword,CB-2025-002,builder
CG-0002,water bottle,ledger_keyword,CB-2025-002,builder
CG-0002,time marker,ledger_keyword,CB-2025-002,builder
CG-0002,motivational water bottle,search_pattern,matching_rules,builder
CG-0002,time marker,search_pattern,matching_rules,builder
CG-0002,motivationalwaterbottle,social_pattern,matching_rules,builder
CG-0003,charcuterie,ledger_keyword,CB-2025-003,builder
CG-0003,magnetic,ledger_keyword,CB-2025-003,builder
CG-0003,detachable,ledger_keyword,CB-2026-034,builder
CG-0003,acacia,ledger_keyword,CB-2026-034,builder
CG-0003,charcuterie,search_pattern,matching_rules,builder
CG-0003,charcuterie,social_pattern,matching_rules,builder
CG-0004,tumbler,ledger_keyword,CB-2025-004,builder
CG-0004,snack tray,ledger_keyword,CB-2025-004,builder
CG-0005,towel warmer,ledger_keyword,CB-2025-005,builder
CG-0006,oil sprayer,ledger_keyword,CB-2025-006,builder
CG-0006,oil dispenser,ledger_keyword,CB-2025-006,builder
CG-0006,oil sprayer,search_pattern,matching_rules,builder
CG-0006,oil mister,search_pattern,matching_rules,builder
CG-0006,oilsprayer,social_pattern,matching_rules,builder
CG-0007,stackable,ledger_keyword,CB-2025-007,builder
CG-0007,bakeware,ledger_keyword,CB-2025-007,builder
CG-0007,stackable bakeware,search_pattern,matching_rules,builder
CG-0008,air fryer liner,ledger_keyword,CB-2025-008,builder
CG-0008,air fryer liner,search_pattern,matching_rules,builder
CG-0008,airfryer,social_pattern,matching_rules,builder
CG-0009,electric lunch box,ledger_keyword,CB-2025-009,builder
