concept_id,cb_product_id,cb_asin,title,best_rank
CG-0001,3562717,B0GW8K9DKD,Bergner 11-Piece Non-Stick Cookware Set with Detachable,26
CG-0001,3545010,B0GW969TGF,Bergner 11-Piece Non-Stick Cookware Set with Detachable,30
CG-0001,3560519,B0GTGC1SSH,Pioneer Woman 32-Piece Pot and Pans Nonstick Cast Aluminum,31
CG-0001,3547830,B0GZF2QSLY,Pioneer Woman Prairie Signature 14-Piece Cast Aluminum,35
CG-0001,3494791,B0GWWGVVKD,Pioneer Woman 32-Piece Nonstick Cast Aluminum Cookware,38
CG-0002,3425908,B0GH7LT5HZ,CIVAGO 64 oz Glass Water Bottle with Detachable Straw,1
CG-0002,3389289,B0G2RTSQDW,MUKOKO 100oz Glass Water Bottle with Time Marker,1
CG-0002,3398839,B0G2RTV1K1,MUKOKO 100oz Glass Water Bottle with Time Marker,2
CG-0002,3247910,B0FS18K5H9,Kodrine 24oz Glass Water Bottle With Straw 2 lids,4
CG-0002,3211616,B0FS182374,Kodrine 24oz Glass Water Bottle With Straw 2 lids,5
CG-0003,2991650,B0FH6YL3XC,Astercook Deep-Carbonized Bamboo Cutting Boards,4
CG-0003,3431098,B0GJS7YNWN,Vocvee Bamboo Cutting Boards for Kitchen Set of 3,9
CG-0003,3435550,B0G4PY9Y2M,100% Pure Titanium Cutting Board Set of 3,10
CG-0003,1748655,B0D2P1HSCV,ROYAL CRAFT WOOD Wooden Cutting Boards Bamboo,17
CG-0003,3461389,B0G631DYNC,100% Pure Titanium Cutting Board Set of 3,34
CG-0006,2001933,B0CJF94M8J,TrendPlain 16oz Olive Oil Dispenser Bottle 2 in 1,1
CG-0006,1921275,B0CP4XY9QC,YARRAMATE Oil Sprayer for Cooking 2 in 1 Olive Oil,2
CG-0006,3545172,B0GZ5Z7VFC,Poshetion 2 in 1 Olive Oil Sprayer and Dispenser 16oz,2
CG-0006,3421343,B0GSK1GZFW,Glass Oil Dispenser Bottle with Spray 2 in 1,11
CG-0006,3525610,B0GVN3QTF3,Olive Oil Sprayer for Cooking Glass Oil Sprayer Mister,18
CG-0007,3360575,B0GGGDT759,tifanso Stainless Steel Cake Pan Set of 3 8 Inch,1
CG-0007,1227914,B09VY7BW48,NutriChef 8-Piece Nonstick Stackable Bakeware Set,2
CG-0007,3507131,B0GWFVRB5W,NutriChef 8 Piece Nonstick Bakeware Set Carbon Steel,3
CG-0007,2007802,B09VXTT9QZ,NutriChef 8-Piece Nonstick Stackable Bakeware Set,3
CG-0007,2660203,B0D9W58553,Country Kitchen Nonstick Stackable Bakeware Set,4
CG-0008,2002491,B0C6Y8NYK1,Air Fryer Paper Liners 120Pcs Disposable,1
CG-0008,2002484,B0B6PLG6G2,Air Fryer Paper Liners 125Pcs Parchment Paper,1
CG-0008,3516599,B0GXPJBX7H,Air Fryer Liners 100 Count Square Parchment 8 Inch,3
CG-0008,3544387,B0G276ZQRB,400Pcs Air Fryer Liners Disposable Non-Stick,4
CG-0008,2002521,B0BKR66QGC,Reynolds Kitchens Air Fryer Liners Disposable,4
CG-0010,3406677,B0GK1ZR1TJ,Girece Candle Warmer Lamp with Timer and Dimmer,1
CG-0010,3609733,B0GWDV1FL5,Hong-in Candle Warmer Lamp with Timer Dimmer,1
CG-0010,3428601,B0GLFL395M,Candle Warmer Lamp with Timer & Dimmer,1
CG-0010,2024534,B0CTJGJL2T,GODONLIF Candle Warmer Lamp Adjustable Height,1
CG-0010,2759059,B0DZFGTCLR,Innqoo Candle Warmer Lamp with Timer Dimmable,1
CG-0011,3525607,B0GVM8N2CK,Meat Thermometer Digital Instant Read Food,1
CG-0011,2022269,B00S93EQUK,Alpha Grillers Instant Read Meat Thermometer,2
CG-0011,2022314,B07XXSYLL8,ThermoPro TP19H Digital Meat Thermometer,4
CG-0011,2714281,B0F5X4FM3Q,0.5 Sec Instant Read Meat Thermometer Digital,6
CG-0011,3558529,B0GZ3173YY,Smart Bluetooth Meat Thermometer Digital 6 Sensors,9
CG-0012,3353686,B0GD71NSS8,Heat Resistant Meat Chopper Nylon Ground Beef Masher,7
CG-0012,2010977,B08JKXDFQ9,Meat Chopper for Hamburger Premium Heat Resistant,9
CG-0012,3547135,B0GS5N64FN,Meat Chopper 5-Blade Curved Potato Masher,28
CG-0012,3381985,B0FQB7WL2D,EcoTeak Teak Wooden Meat Chopper Ground Beef,31
CG-0012,2002104,B08JLC49HY,Upgrade Meat Chopper Heat Resistant Meat Masher,50
CG-0013,2722431,B0D9QBSDGW,Urban Green Glass Food Storage Containers Glass Lids,1
CG-0013,1513244,B0CZTMHKQT,Glass Food Storage Containers with Glass Lids,1
CG-0013,3583960,B0GRTKQBCN,Dealusy 10 Sets 20-Piece Glass Meal Prep Containers,1
CG-0013,3367746,B0GFWRN61Q,KEMETHY 40 PCS Glass Food Storage Containers,1
CG-0013,3644145,B0GR4K5WF3,Ello Duraglass Refresh 3.4 Cup Meal Prep Sets 10Pc,2
